id;nombres;apellidos;tipo_persona;tipo_documento;documento;dv;estado
1;Card;transform;generating enterprise Surinam;Entrada virtual;medición Seguro Mejorado;Joyería;97259
2;incubate;matrix transmit;política;synthesize producto;cliente Negro Videojuegos;Galicia Auto Práctico;18986
3;tangible Auto;Rambla;tangible Marca;Cambridgeshire;Hormigon;Arquitecto Negro;69517
4;Verde Extremadura seamless;Haiti;Queso withdrawal auxiliary;sensor multitarea calculate;Chad Inversor protocol;Plástico cultivate;36587
5;Técnico;Atún;Auto Director Jefe;Chalet payment microchip;Ensalada Loan mobile;Seguridada Madera Loan;19738
6;Algodón Moda;Granito evolve Senda;Administrador Account;Granito optical;card invoice withdrawal;Interacciones 1080p;46478
7;Cliente primary Account;PCI Joyería;incentivize a Public-key;Sabroso Especialista;Cantabria feed port;e-business Gorro;25412
8;deposit Investment Avon;Futuro Verde;Buckinghamshire Mascotas vertical;AGP Sabroso;Metal Desarrollador Respuesta;seize;6158
9;Guantes action-items user-centric;Funcionario;Azul;Clonado Sudán definición;Card TCP Relacciones;quantifying;78247
10;Mesa;Montenegro;calculate world-class Jefe;Arquitecto;multimedia Canarias;Burundi calculating initiatives;35788
