id;nombre;cargo;salario;salud;pension;observacon;fecha_registro
1;algoritmo cross-platform;Fiji;87896;reboot Normas Blanco;Soluciones migración Guapa;HTTP Somali;Pequeño Azul PCI
2;JSON;Sorprendente up valor;78544;Plástico Hecho Torrente;copy Nueva;relationships applications País;Facilitador
3;Distrito Huerta;copy Papelería;37948;Práctico Pasaje;Ordenador;orquestar Bricolaje revolutionary;División
4;indexing Práctico;Coordinador Solar;25414;capacitor;cross-platform;PCI Calidad maximizada;bluetooth Para generating
5;Loan niches;artificial;28060;Oficial;Money;Obligatorio hack generate;Acero Algodón
6;Rojo;Turquia mano program;18363;Personal;circuit Artesanal;blockchains;Burundi neural
7;utilize;transmitting;79736;payment Técnico FTP;aggregate Gerente;Mejorado Cine;Jamaica Bedfordshire Costa
8;Savings;Aragón;54499;Camiseta;initiatives backing drive;Bricolaje dinámica política;solid
9;funcionalidad sensor primary;indexing;34414;Account auxiliary;mobile discreta bypass;cross-platform user-centric Directo;Somali Diseñador
10;Moda;Funcionario;95425;copy conjunto;Valenciana Hogar Buckinghamshire;Mascotas Cuba RSS;Asociado
